text,rating,full_date,vader_scores
Beautiful film but so preachy Love of Legacy Margot does the best with what she s given but this film was very disappointing to me It was marketed as a fun quirky satire with homages to other movies It started that way but ended with over dramatized speeches and an ending that clearly tried to make the audience feel something but left everyone just feeling confused And before you say Im a crotchety old man Im a woman in my s so Im pretty sure Im this movies target audience The saddest part is there were parents with their kids in the theater that were victims of the poor marketing because this is not a kids movie Overall the humor was fun on occasion and the film is beautiful to look at but the whole concept falls apart in the second half of the film and becomes a pity party for the strong woman out of this Was this in to,6.0,21 July 2023,0.9857
Clever and fun beginning turns into another lecture in the patriarchy B ink conn Barbie begins in an irresistible way as a fun dismantling of all the plastic i zed and body image ideals the doll has set for little girls throughout the decades as Barbie faces an existential crisis and must journey into the real world to find her true self Then about halfway through America shows up as a dissatisfied Barbie designer and starts hammering us about the patriarchy as if all men were clueless macho oafs like Ken that needed to be smugly tolerated by the greater hierarchy of women Ger wig seems to be projecting her issues about Hollywood and it makes Barbie out of touch out of this Was this in to,6.0,21 July 2023,0.891
It was depressing cox a a out of this Was this in to,8.0,24 July 2023,-0.3818
A Technicolor Dream heather gers Wow this movie was a love letter to cinema From the Kubrick reference at the opening to the being real no cgi for the sets There were dance sequences like in the olden days think Grease and the costuming wow the costuming Greta Ger wig dug deep to make this masterpiece using all of her technical chops along the way The casting director also nailed it everyone was wonderful The acting was perfection I loved seeing the variety of on screen and there were so many jokes that would be appropriate for all audiences this has to be a voluntary PG rating as there wasnt swearing or nudity There was one beach fight amongst the Kens but that s not really violence compared to average films no one was harmed nor any fake blood used I actually didnt like the ending at all and I was quite annoyed that Rhea Perlman played the creator of Barbie but made two quips about the IRS getting her for tax evasion something Ruth Handler never dealt with Her problem was with the SEC after she had signed off on a positive earnings forecast when they knew they were in a down quarter that so tough to explain Irregardless I want to see this movie again And again And again out of this Was this in to,9.0,24 July 2023,0.9653
reasons FOR seeing it and reason AGAINST im see g out of this Was this in to,7.0,22 July 2023,0.0
Barbie Is A Weirdly Fun Movie Habib ie Hakim While im not so sure at first the movie kept getting even more fun entertaining and definitely better also surprisingly deal with a legit serious stuff Barbie is a weirdly fun movie that fills with this very interesting concept definitely the first time that s ever done Greta Ger wig has created this whole new style of filmmaking specifically for Barbie from the intentionally weird yet creative editing some awkward and cringe scene i the comedy so funny instead of cringe Barbie is one of the most original movie of the year and also one of the most original movie ive seen in a while we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are but Will Ferrell S imu Liu and the whole rest of the cast were also great and entertaining the soundtrack was just great except Nicki and Ice Spice Barbie World song that are just absolutely terrible but Billie E il ish What Was I Made For tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional anyway Barbie is a lot of fun while there is still some noticeable flawed most of them i it funny entertaining colourful creative and fun pure fun its something that i probably will love it even more the second time i see it but as of right now Barbie was a good time definitely recommended and with this movie somehow its actually possible to have a live action Barbie movie all you need to have is a good writer good director and good cast and they delivers mostly out of this Was this in to,8.0,19 July 2023,0.9987
Too heavy handed Nat cat out of this Was this in to,6.0,22 July 2023,0.0
Fun and surprisingly touching jp is my name I was honestly doubting this movie at first but surprisingly I find myself really liking it quite a lot Set in the colorful Barbie Land stereotypical Barbie lives a perfect life every single day One day she shows signs of being a human She decides to go to the Real World to find the cure in order to make herself perfect again Barbie is a fun movie that has surprisingly plenty of heartwarming moments and good messages to offer The set designs are eye catching and on point as well Both Margot Robbie and Ryan Gosling nailed their parts but it is Gosling who mostly shines Something Im pretty sure of is this movie getting nominated for the Oscars most likely for Best Production Design Best Costume Design and probably Best Song for Billie E il ish That song is beautiful and its stuck in my head right now out of this Was this in to,8.0,19 July 2023,0.9972
High Highs Low Lows The first thing you need to know about Barbie is that Ryan Gosling is the best part of the entire film For the duration he is over the top dumb and hilarious Every scene he was in had me laughing and I enjoyed just about everything he did in the film Margot Robbie is a great choice for Barbie and as usual puts in a fantastic performance She hit pretty much every mark in my opinion and I cant see anyone taking her place in this role Where the film falls flat unfortunately is not the characters actors or even humour for that matter Its the incessant political lecturing Its no surprise that this film takes a strong feminist angle That s to expected Barbie was a doll that portrayed many different professions in an attempt to show young girls that they could strive for me than what they were told they could do But that was the s This is By no means is the world a perfect representation of equality today but it is so vastly superior in that category than it ever has been that the theme of the film falls a little flat Telling young girls to go after their dreams and not be beholden to any stereotypes is a positive wonderful message and one that been portrayed so much better But instead the film teeters on the edge of a radical feminist position Ive seen a lot of people say the film hates men I disagree with this I dont think it hates men Instead it takes a very simplistic black and white view of Western culture and assumes that womens lives are overall difficult and mens lives are overall quite easy When in reality life is tough For everyone At least of us Claiming otherwise is unjust However its not just the political stance it takes that brings the film down Its how incessant it is They are without any shame pushing a political message through the screen down your throat every minutes Its unbearable at times Going to the cinema or watching a film should be an enjoyable experience not a lecture This film been beloved by all genders and ages Both men and women love Margot Robbie and Ryan Gosling This feels like an easy lay up for the but by going the political route they end up having many jokes go over kids heads and alienate many of the people who where genuinely excited to see this film I give it a because of Gosling and most of the humour It was enjoyable overall I think Hollywood needs to stop employing multi millionaire actors to lecture the general public on how to live Its embarrassing out of this Was this in to,6.0,24 July 2023,0.9957
Well this really did come as a surprise Sleep in Dragon It pains me to say it but I enjoyed this movie so much more then I was expecting to musical numbers humour there truly is something for the whole family yo enjoy Bright garish and somewhat kitsch those were my expectations and sure its a veritable cornucopia of glitter and rainbows but what I wasnt expecting was for the film to be so engaging there s actually some real depth that I wasnt expecting That opening introduction that came as a major surprise and pretty much set the tone Of course there are plenty of double entendres laughs that adults will enjoy kids will no doubt chuckle away too Im pretty sure this film is going to win awards for its production its very well made creative design and visuals a lot of thought has gone into this Greta Ger wig did a great job Margot Robbie is glorious as Barbie Ryan Gosling was great I thought The pair shared some terrific scenes real chemistry and plenty of cutting one liners Great use of music everything fitted into the film so well out of this Was this in to,8.0,21 July 2023,0.9986
